10001	American	3.925	64
10001	Caf??	3.725	80
10001	CoffeeShop	3.975	244
10002	American	3.975	29
10002	Caf??	3.725	36
10002	CoffeeShop	3.875	93
10003	American	3.975	35
10003	Caf??	3.675	43
10003	CoffeeShop	3.975	129
10004	Bar	3.6	27
10004	Caf??	3.625	26
10004	CoffeeShop	3.4444444444444446	93
10005	American	3.7	25
10005	Bar	3.675	28
10005	Caf??	3.75	31
10006	American	3.7	25
10006	Bar	3.7	28
10006	Caf??	3.8	27
10007	American	3.7	25
10007	Caf??	3.825	30
10007	CoffeeShop	3.825	90
10009	American	3.975	33
10009	Caf??	3.75	41
10009	CoffeeShop	3.95	108
10010	American	3.8	35
10010	Caf??	3.6	37
10010	CoffeeShop	3.75	109
10012	Bar	4.075	31
10012	Caf??	3.475	40
10012	CoffeeShop	4.0	101
10013	American	3.875	30
10013	Caf??	3.6	39
10013	CoffeeShop	3.925	98
10014	American	3.9	30
10014	Caf??	3.85	41
10014	CoffeeShop	4.025	118
10016	Bar	4.075	37
10016	Caf??	3.6578947368421053	40
10016	CoffeeShop	3.975	121
10017	American	3.7	33
10017	Caf??	3.625	35
10017	CoffeeShop	3.85	126
10018	American	3.9	42
10018	Caf??	3.65	42
10018	CoffeeShop	3.975	134
10019	American	3.85	32
10019	Caf??	3.475	32
10019	CoffeeShop	3.9	119
10020	American	3.775	33
10020	Bar	3.875	35
10020	Caf??	3.375	47
10021	American	3.775	35
10021	Bar	3.925	35
10021	CoffeeShop	3.95	108
10022	American	3.85	32
10022	Bar	4.025	30
10022	Caf??	3.375	30
10022	CoffeeShop	3.9	127
10023	American	3.75	36
10023	Bar	3.825	32
10023	CoffeeShop	3.611111111111111	125
10024	American	3.675	25
10024	Burgers	3.675	23
10024	CoffeeShop	3.825	76
10025	American	3.675	26
10025	Bar	3.7	25
10025	CoffeeShop	3.55	78
10026	American	3.725	20
10026	Bar	3.65	23
10026	Caf??	3.65	17
10027	American	3.55	19
10027	Bar	3.725	20
10027	CoffeeShop	3.357142857142857	66
10028	American	3.7	23
10028	Bar	3.875	26
10028	Caf??	3.4210526315789473	23
10028	CoffeeShop	3.95	85
10029	American	3.775	20
10029	Bar	3.925	23
10029	CoffeeShop	3.75	69
10030	American	3.575	19
10030	Bar	3.825	20
10030	Caf??	3.9	15
10031	American	3.825	11
10031	Bar	3.9	18
10031	Burgers	3.55	14
10032	American	3.625	17
10032	Bar	3.55	23
10032	Burgers	3.675	13
10032	Caf??	3.775	13
10033	American	3.625	20
10033	Bar	3.65	23
10033	CoffeeShop	3.375	71
10034	Burgers	3.35	15
10034	CoffeeShop	4.05	39
10034	Pizza	3.925	16
10035	American	3.75	21
10035	Bar	3.975	24
10035	CoffeeShop	3.625	67
10036	American	3.95	41
10036	Caf??	3.45	37
10036	CoffeeShop	4.075	133
10037	American	3.575	11
10037	Bar	3.975	18
10037	Burgers	3.175	14
10038	American	3.825	26
10038	Caf??	3.75	30
10038	CoffeeShop	3.625	90
10039	American	4.0	16
10039	Bar	3.875	20
10039	Burgers	3.3947368421052633	13
10039	Caf??	3.325	13
10040	American	3.75	13
10040	Bar	3.5	20
10040	Burgers	3.225	13
10044	American	3.75	27
10044	Bar	3.975	27
10044	CoffeeShop	3.9	91
10128	American	3.775	27
10128	Bar	3.925	30
10128	CoffeeShop	3.875	105
10280	Bar	3.75	29
10280	Caf??	3.625	32
10280	CoffeeShop	3.6538461538461537	102
